ID,Location1,Location2,Distance_km
1,al. Mickiewicza – Piłsudskiego – Focha,al. Mickiewicza – Reymonta,0.5100655478609869
2,al. Mickiewicza – Piłsudskiego – Focha,al. Słowackiego – Prądnicka – Długa,1.7708592566893868
3,al. Mickiewicza – Piłsudskiego – Focha,Beliny-Prażmowskiego – Brodowicza,2.6493099385087886
4,al. Mickiewicza – Piłsudskiego – Focha,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),2.7866567255802077
5,al. Mickiewicza – Piłsudskiego – Focha,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,1.5616915814136287
6,al. Mickiewicza – Piłsudskiego – Focha,Zakopiańska – Wadowicka – Tischnera – Brożka,3.4623092861733658
7,al. Mickiewicza – Piłsudskiego – Focha,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,3.215392607301209
8,al. Mickiewicza – Piłsudskiego – Focha,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,3.2417579147901567
9,al. Mickiewicza – Piłsudskiego – Focha,Bratysławska – Doktora Twardego – Wybickiego,2.8064286537037586
10,al. Mickiewicza – Piłsudskiego – Focha,Piastowska – Lea,2.0382677238375924
11,al. Mickiewicza – Piłsudskiego – Focha,Armii Krajowej – Zarzecze,3.1891835485484448
12,al. Mickiewicza – Piłsudskiego – Focha,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,3.3983254754288996
13,al. Mickiewicza – Piłsudskiego – Focha,Piastowska – Armii Krajowej – Nawojki,1.9216584770459755
14,al. Mickiewicza – Piłsudskiego – Focha,Herberta – Turowicza – Trasa Łagiewnicka,5.155759154870611
15,al. Mickiewicza – Piłsudskiego – Focha,Witosa – Nowosądecka – Łużycka,5.831313520421638
16,al. Mickiewicza – Piłsudskiego – Focha,Wielicka – Nowosądecka,5.538469988096921
17,al. Mickiewicza – Piłsudskiego – Focha,Wielicka – Teligi – Kostaneckiego,7.3435994765222725
18,al. Mickiewicza – Piłsudskiego – Focha,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,9.189355601106941
19,al. Mickiewicza – Piłsudskiego – Focha,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,6.309084461653202
20,al. Mickiewicza – Piłsudskiego – Focha,al. 29 Listopada – Opolska – Lublańska,3.660159672881206
21,al. Mickiewicza – Piłsudskiego – Focha,Ks. Józefa – Jodłowa,4.061115200860536
22,al. Mickiewicza – Piłsudskiego – Focha,Zakopiańska – Jugowicka – Zawiła,5.808124285107639
23,al. Mickiewicza – Piłsudskiego – Focha,Mogilska – Lema – al. Jana Pawła II – Meissnera,4.3837223491986705
24,al. Mickiewicza – Piłsudskiego – Focha,Księcia Józefa – Most Zwierzyniecki,1.9143009339146018
25,al. Mickiewicza – Piłsudskiego – Focha,Pachońskiego – Sosabowskiego – Trasa Wolbromska,3.9561724571380443
26,al. Mickiewicza – Reymonta,al. Mickiewicza – Piłsudskiego – Focha,0.5100655478609869
27,al. Mickiewicza – Reymonta,al. Słowackiego – Prądnicka – Długa,1.3872816248895024
