nazwa,pop_300m,pop_500m,pop_800m,autobus,tramwaj
al. Mickiewicza – Piłsudskiego – Focha,1875,4453,9598,1,0
al. Mickiewicza – Reymonta,1575,4112,9964,1,0
al. Słowackiego – Prądnicka – Długa,1481,3941,9353,1,1
Beliny-Prażmowskiego – Brodowicza,1637,4474,9465,1,0
Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),806,2380,6372,1,1
Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,1015,2773,6613,1,1
Zakopiańska – Wadowicka – Tischnera – Brożka,1410,3925,8957,1,1
Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,1108,3337,8791,1,1
Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,691,1967,5180,1,1
Bratysławska – Doktora Twardego – Wybickiego,1455,4092,10160,1,1
Piastowska – Lea,1897,4855,11380,0,0
Armii Krajowej – Zarzecze,1421,3984,9899,1,0
Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,1300,3086,7006,1,1
Piastowska – Armii Krajowej – Nawojki,1517,4215,10267,1,0
Herberta – Turowicza – Trasa Łagiewnicka,799,2655,7808,1,1
Witosa – Nowosądecka – Łużycka,1844,4864,11761,1,1
Wielicka – Nowosądecka,979,2667,6735,1,1
Wielicka – Teligi – Kostaneckiego,541,1621,4605,1,1
al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,1082,2674,5945,1,1
Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,814,2429,6755,1,0
al. 29 Listopada – Opolska – Lublańska,949,3011,8413,1,0
Ks. Józefa – Jodłowa,586,1559,3699,1,0
Zakopiańska – Jugowicka – Zawiła,1618,4059,9260,1,0
Mogilska – Lema – al. Jana Pawła II – Meissnera,904,2336,5542,1,1
Księcia Józefa – Most Zwierzyniecki,524,1274,3107,1,0
Pachońskiego – Sosabowskiego – Trasa Wolbromska,1092,3157,7562,1,1
