ID,Location1,Location2,Distance_km,Travel_Time_hr
1,al. Mickiewicza – Piłsudskiego – Focha,al. Mickiewicza – Reymonta,0.5823717463662728,0:00:41.930766
2,al. Mickiewicza – Piłsudskiego – Focha,al. Słowackiego – Prądnicka – Długa,2.0511732580460755,0:02:27.684475
3,al. Mickiewicza – Piłsudskiego – Focha,Beliny-Prażmowskiego – Brodowicza,4.639557246211297,0:05:31.755647
4,al. Mickiewicza – Piłsudskiego – Focha,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),2.9128010349109483,0:02:53.623565
5,al. Mickiewicza – Piłsudskiego – Focha,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,2.0646425143706604,0:02:27.244036
6,al. Mickiewicza – Piłsudskiego – Focha,Zakopiańska – Wadowicka – Tischnera – Brożka,3.6878288998207123,0:03:49.425572
7,al. Mickiewicza – Piłsudskiego – Focha,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,3.815069113307655,0:04:18.594284
8,al. Mickiewicza – Piłsudskiego – Focha,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,5.007176710486283,0:04:42.842843
9,al. Mickiewicza – Piłsudskiego – Focha,Bratysławska – Doktora Twardego – Wybickiego,3.386844476632765,0:04:03.852802
10,al. Mickiewicza – Piłsudskiego – Focha,Piastowska – Lea,2.5758848132470966,0:03:05.463707
11,al. Mickiewicza – Piłsudskiego – Focha,Armii Krajowej – Zarzecze,3.840552408377875,0:04:36.519773
12,al. Mickiewicza – Piłsudskiego – Focha,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,4.461205860831076,0:04:59.337515
13,al. Mickiewicza – Piłsudskiego – Focha,Piastowska – Armii Krajowej – Nawojki,2.3266894353589866,0:02:47.521639
14,al. Mickiewicza – Piłsudskiego – Focha,Herberta – Turowicza – Trasa Łagiewnicka,5.462685795967639,0:05:20.061545
15,al. Mickiewicza – Piłsudskiego – Focha,Witosa – Nowosądecka – Łużycka,6.206788450031549,0:06:39.886866
16,al. Mickiewicza – Piłsudskiego – Focha,Wielicka – Nowosądecka,6.065143031875012,0:05:56.661653
17,al. Mickiewicza – Piłsudskiego – Focha,Wielicka – Teligi – Kostaneckiego,7.883476213662435,0:07:30.092500
18,al. Mickiewicza – Piłsudskiego – Focha,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,12.883341989939327,0:12:35.862046
19,al. Mickiewicza – Piłsudskiego – Focha,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,7.650379740232209,0:07:22.180756
20,al. Mickiewicza – Piłsudskiego – Focha,al. 29 Listopada – Opolska – Lublańska,4.299339737895727,0:04:30.910328
21,al. Mickiewicza – Piłsudskiego – Focha,Ks. Józefa – Jodłowa,4.410180471642341,0:06:15.747145
22,al. Mickiewicza – Piłsudskiego – Focha,Zakopiańska – Jugowicka – Zawiła,6.2726714368811445,0:06:17.526989
23,al. Mickiewicza – Piłsudskiego – Focha,Mogilska – Lema – al. Jana Pawła II – Meissnera,6.174274297478775,0:07:22.255275
24,al. Mickiewicza – Piłsudskiego – Focha,Księcia Józefa – Most Zwierzyniecki,2.1102564087920666,0:03:20.437083
25,al. Mickiewicza – Piłsudskiego – Focha,Pachońskiego – Sosabowskiego – Trasa Wolbromska,4.919996984861743,0:05:51.332805
26,al. Mickiewicza – Reymonta,al. Mickiewicza – Piłsudskiego – Focha,0.5312557461407912,0:00:38.250414
27,al. Mickiewicza – Reymonta,al. Słowackiego – Prądnicka – Długa,1.5341486345464472,0:01:50.458702
28,al. Mickiewicza – Reymonta,Beliny-Prażmowskiego – Brodowicza,4.1225326227116685,0:04:54.529874
29,al. Mickiewicza – Reymonta,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),3.44405678105174,0:03:31.873979
30,al. Mickiewicza – Reymonta,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,2.595898260511452,0:03:05.494450
31,al. Mickiewicza – Reymonta,Zakopiańska – Wadowicka – Tischnera – Brożka,4.219084645961504,0:04:27.675985
32,al. Mickiewicza – Reymonta,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,4.346324859448446,0:04:56.844698
33,al. Mickiewicza – Reymonta,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,5.538432456627076,0:05:21.093257
34,al. Mickiewicza – Reymonta,Bratysławska – Doktora Twardego – Wybickiego,2.869819853133137,0:03:26.627029
35,al. Mickiewicza – Reymonta,Piastowska – Lea,1.9935130668808239,0:02:23.532941
36,al. Mickiewicza – Reymonta,Armii Krajowej – Zarzecze,3.258180662011602,0:03:54.589008
37,al. Mickiewicza – Reymonta,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,4.992461606971868,0:05:37.587929
38,al. Mickiewicza – Reymonta,Piastowska – Armii Krajowej – Nawojki,1.7443176889927132,0:02:05.590874
39,al. Mickiewicza – Reymonta,Herberta – Turowicza – Trasa Łagiewnicka,5.99394154210843,0:05:58.311959
40,al. Mickiewicza – Reymonta,Witosa – Nowosądecka – Łużycka,6.738044196172341,0:07:18.137279
41,al. Mickiewicza – Reymonta,Wielicka – Nowosądecka,6.5963987780158035,0:06:34.912067
42,al. Mickiewicza – Reymonta,Wielicka – Teligi – Kostaneckiego,8.414731959803229,0:08:08.342914
43,al. Mickiewicza – Reymonta,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,12.3663173664397,0:11:58.636273
44,al. Mickiewicza – Reymonta,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,7.133355116732581,0:06:44.954983
45,al. Mickiewicza – Reymonta,al. 29 Listopada – Opolska – Lublańska,3.7823151143960985,0:03:53.684555
46,al. Mickiewicza – Reymonta,Ks. Józefa – Jodłowa,4.9414362177831315,0:06:53.997559
47,al. Mickiewicza – Reymonta,Zakopiańska – Jugowicka – Zawiła,6.803927183021936,0:06:55.777403
48,al. Mickiewicza – Reymonta,Mogilska – Lema – al. Jana Pawła II – Meissnera,5.6572496739791465,0:06:45.029502
49,al. Mickiewicza – Reymonta,Księcia Józefa – Most Zwierzyniecki,2.6415121549328573,0:03:58.687496
50,al. Mickiewicza – Reymonta,Pachońskiego – Sosabowskiego – Trasa Wolbromska,4.4029723613621154,0:05:14.107032
51,al. Słowackiego – Prądnicka – Długa,al. Mickiewicza – Piłsudskiego – Focha,2.0407675061102424,0:02:26.935260
52,al. Słowackiego – Prądnicka – Długa,al. Mickiewicza – Reymonta,1.5095117599694516,0:01:48.684847
53,al. Słowackiego – Prądnicka – Długa,Beliny-Prażmowskiego – Brodowicza,2.6539898456124336,0:03:08.794794
54,al. Słowackiego – Prądnicka – Długa,Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego),4.953568541021191,0:05:20.558826
55,al. Słowackiego – Prądnicka – Długa,Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego,4.105410020480904,0:04:54.179296
56,al. Słowackiego – Prądnicka – Długa,Zakopiańska – Wadowicka – Tischnera – Brożka,5.728596405930954,0:06:16.360832
57,al. Słowackiego – Prądnicka – Długa,Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego,5.8558366194178975,0:06:45.529545
58,al. Słowackiego – Prądnicka – Długa,Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego,5.388989934350543,0:06:15.485808
59,al. Słowackiego – Prądnicka – Długa,Bratysławska – Doktora Twardego – Wybickiego,1.33567121858669,0:01:36.168328
60,al. Słowackiego – Prądnicka – Długa,Piastowska – Lea,2.7918736012837835,0:03:21.014899
61,al. Słowackiego – Prądnicka – Długa,Armii Krajowej – Zarzecze,4.342206266524156,0:05:12.638851
62,al. Słowackiego – Prądnicka – Długa,Grota-Roweckiego – Trasa Łagiewnicka – Norymberska,6.501973366941319,0:07:26.272776
63,al. Słowackiego – Prądnicka – Długa,Piastowska – Armii Krajowej – Nawojki,2.828343293505267,0:03:23.640717
64,al. Słowackiego – Prądnicka – Długa,Herberta – Turowicza – Trasa Łagiewnicka,7.503453302077881,0:07:46.996805
65,al. Słowackiego – Prądnicka – Długa,Witosa – Nowosądecka – Łużycka,8.24755595614179,0:09:06.822126
66,al. Słowackiego – Prądnicka – Długa,Wielicka – Nowosądecka,8.105910537985256,0:08:23.596914
67,al. Słowackiego – Prądnicka – Długa,Wielicka – Teligi – Kostaneckiego,9.92424371977268,0:09:57.027760
68,al. Słowackiego – Prądnicka – Długa,al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego,10.897774589340463,0:10:12.901193
69,al. Słowackiego – Prądnicka – Długa,Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego,5.664812339633346,0:04:59.219903
70,al. Słowackiego – Prądnicka – Długa,al. 29 Listopada – Opolska – Lublańska,2.313772337296864,0:02:07.949475
71,al. Słowackiego – Prądnicka – Długa,Ks. Józefa – Jodłowa,6.450947977752584,0:08:42.682406
72,al. Słowackiego – Prądnicka – Długa,Zakopiańska – Jugowicka – Zawiła,8.313438942991386,0:08:44.462250
73,al. Słowackiego – Prądnicka – Długa,Mogilska – Lema – al. Jana Pawła II – Meissnera,4.1887068968799115,0:04:59.294422
74,al. Słowackiego – Prądnicka – Długa,Księcia Józefa – Most Zwierzyniecki,4.15102391490231,0:05:47.372343
75,al. Słowackiego – Prądnicka – Długa,Pachońskiego – Sosabowskiego – Trasa Wolbromska,2.8688237268156676,0:03:23.648331
76,Beliny-Prażmowskiego – Brodowicza,al. Mickiewicza – Piłsudskiego – Focha,4.564080078769328,0:05:22.638769
77,Beliny-Prażmowskiego – Brodowicza,al. Mickiewicza – Reymonta,4.032824332628535,0:04:44.388355
78,Beliny-Prażmowskiego – Brodowicza,al. Słowackiego – Prądnicka – Długa,2.523312572659084,0:02:55.703508
