nazwa;pop_300m;pop_500m;pop_800m
al. Mickiewicza – Piłsudskiego – Focha;1875;4453;9598
al. Mickiewicza – Reymonta;1575;4112;9964
al. Słowackiego – Prądnicka – Długa;1481;3941;9353
Beliny-Prażmowskiego – Brodowicza;1637;4474;9465
Konopnickiej – Kamieńskiego – Kalwaryjska – Wadowicka (rondo Matecznego);806;2380;6372
Monte Cassino – Kapelanka – Zielińskiego – Nowaczyńskiego;1015;2773;6613
Zakopiańska – Wadowicka – Tischnera – Brożka;1410;3925;8957
Grota-Roweckiego – Kapelanka – Brożka – Lipińskiego;1108;3337;8791
Wielicka – Powstańców Wielkopolskich – Powstańców Śląskich – Limanowskiego;691;1967;5180
Bratysławska – Doktora Twardego – Wybickiego;1455;4092;10160
Piastowska – Lea;1897;4855;11380
Armii Krajowej – Zarzecze;1421;3984;9899
Grota-Roweckiego – Trasa Łagiewnicka – Norymberska;1300;3086;7006
Piastowska – Armii Krajowej – Nawojki;1517;4215;10267
Herberta – Turowicza – Trasa Łagiewnicka;799;2655;7808
Witosa – Nowosądecka – Łużycka;1844;4864;11761
Wielicka – Nowosądecka;979;2667;6735
Wielicka – Teligi – Kostaneckiego;541;1621;4605
al. Jana Pawła II – Klasztorna – Bulwarowa – Ptaszyckiego;1082;2674;5945
Stella-Sawickiego – Wiślicka – al. Bora-Komorowskiego;814;2429;6755
al. 29 Listopada – Opolska – Lublańska;949;3011;8413
Ks. Józefa – Jodłowa;586;1559;3699
Zakopiańska – Jugowicka – Zawiła;1618;4059;9260
Mogilska – Lema – al. Jana Pawła II – Meissnera;904;2336;5542
Księcia Józefa – Most Zwierzyniecki;524;1274;3107
Pachońskiego – Sosabowskiego – Trasa Wolbromska;1092;3157;7562
